apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,clouddevice,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,8,,,S7.Protocol_Setup.Communication,Operational.Technology: S7.Protocol_Setup.Communication,102,app-ctrl,others,,,undefined,,port7,,42210,61412,,206428002,,outgoing,,Job=f0 00 00 01 00 01 01 e0,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190569271661
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,8,,,S7.Protocol_Setup.Communication,Operational.Technology: S7.Protocol_Setup.Communication,102,app-ctrl,others,,,undefined,,port7,,42210,61412,,206428003,,incoming,,Ack=f0 00 00 01 00 01 00 f0,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190569881849
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,8,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428004,,outgoing,,Request=ff 09 00 04 00 11 00 01,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190570597192
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,,,,undefined,,port7,,42225,61412,,206428005,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190570862091
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,96,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428006,,incoming,,Response=ff 09 00 5c 00 11 00 01 00 1c 00 03 00 01 36 45 53 37 20 53 49 4d 2d 30 31 32 30 30 2d 56 50 4c 43 20 00 00 ff fe 20 20 00 06 36 45 53 37 20 53 49 4d 2d 30 31 32 30 30 2d 56 50 4c 43 20 00 00 ff fe 20 20 00 07 36 45 53 37 20 53 49 4d 2d 30 31 32 ,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190571379858
low,utm,-0700,21:19:50,IoT,pass,6,,,,,Siemens.Devices,IoT: Siemens.Devices,102,app-ctrl,,,,undefined,,port7,,10000166,61412,,206428007,,incoming,,,,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=Siemens, Model=6ES7SIM-01200-VPLC, Version=0.86.4",root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190572013112
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,8,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428008,,outgoing,,Request=ff 09 00 04 00 11 00 01,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190572687137
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,,,,undefined,,port7,,42225,61412,,206428009,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190572953720
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,96,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428010,,incoming,,Response=ff 09 00 5c 00 11 00 01 00 1c 00 03 00 01 36 45 53 37 20 53 49 4d 2d 30 31 32 30 30 2d 56 50 4c 43 20 00 00 ff fe 20 20 00 06 36 45 53 37 20 53 49 4d 2d 30 31 32 30 30 2d 56 50 4c 43 20 00 00 ff fe 20 20 00 07 36 45 53 37 20 53 49 4d 2d 30 31 32 ,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190573521343
low,utm,-0700,21:19:50,IoT,pass,6,,,,,Siemens.Devices,IoT: Siemens.Devices,102,app-ctrl,,,,undefined,,port7,,10000166,61412,,206428011,,incoming,,,,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=Siemens, Model=6ES7SIM-01200-VPLC, Version=0.86.4",root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190574016855
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,8,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428012,,outgoing,,Request=ff 09 00 04 00 1c 00 01,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190574716893
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,,,,undefined,,port7,,42225,61412,,206428013,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190574989773
elevated,utm,-0700,21:19:50,Operational.Technology,pass,6,,4,,,S7.Protocol_CPU.Function.Read.SZL,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,102,app-ctrl,others,,,undefined,,port7,,42225,61412,,206428014,,incoming,,Response=0a 00 00 00,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57004,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769190575499291
elevated,traffic,-0700,21:19:51,Industrial,accept,6,0,,08:00:27:50:4c:14,13,S7.Protocol_CPU.Function.Read.SZL,,102,sniffer,,snat,147,undefined,0.0.0.0,port7,1,42225,61412,8,,0,,24:41:8c:64:12:11,,,0004000017,port7,undefined,333,allow,sniffer,08:00:27:50:4c:14,57004,0,147,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,24:41:8c:64:12:11,1,192.168.0.64,192.168.0.142,Reserved,Reserved,8,333,notice,13,4,FGDIT,,tcp/102,13,FGVM02TM24011031,2024-09-07,,1725769191494306704
