apprisk,type,tz,time,appcat,action,proto,filesize,app,msg,dstport,subtype,cloudaction,srcintfrole,srcintf,appid,sessionid,incidentserialno,direction,filename,clouduser,logid,dstintf,dstintfrole,policytype,srcport,poluuid,clouddevice,vd,dstip,srcip,srccountry,dstcountry,level,policyid,devname,applist,service,devid,date,eventtype,eventtime
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428233,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907467200
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Class.Dump,Operational.Technology: DNP3_Class.Dump,20000,app-ctrl,others,undefined,port7,55662,61430,206428234,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907692291
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428235,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907747812
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428236,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907824748
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428237,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907882837
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428238,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926907970247
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,2,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428239,incoming,00 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908033481
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428240,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908179668
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Class.Dump,Operational.Technology: DNP3_Class.Dump,20000,app-ctrl,others,undefined,port7,55662,61430,206428241,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908439212
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428242,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908495014
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428243,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908571119
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428244,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908628419
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428245,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908712473
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,2,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428246,incoming,00 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908775058
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428247,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926908851427
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428248,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909107152
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,3,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428249,outgoing,00 ff 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909190531
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428250,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909248848
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428251,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909341575
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,89,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428252,incoming,00 00 00 ff 00 00 00 fe 50 d3 00 d4 00 5d cc d5 00 d6 00 d7 00 d8 00 d9 00 da 00 db 00 dc 00 68 18 dd 00 de 00 df 00 e0 00 e1 00 e2 00 e3 00 e4 00 ec 2d e5 00 e6 00 e7 00 e8 00 e9 00 ea 00 eb 00 ec 00 34 2e ed 00 ee 00 ef 00 f0 00 f1 00 f2 00 f3 00 f5 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909409978
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428253,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909522930
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428254,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909745334
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,12,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428255,outgoing,3c 01 06 3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909828426
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428256,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909886747
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428257,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926909990195
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,60,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428258,incoming,00 00 01 02 00 00 00 01 03 02 00 00 00 1f 0d 01 14 01 00 00 00 01 00 00 00 00 15 01 00 00 00 73 7e 01 00 00 00 00 1e 05 00 00 00 01 00 00 00 00 0a 0d 6b 02 00 00 00 01 28 03 00 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910055933
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428259,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910141172
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Class.Dump,Operational.Technology: DNP3_Class.Dump,20000,app-ctrl,others,undefined,port7,55662,61430,206428260,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910365745
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428261,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910420096
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428262,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910644442
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428263,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910705852
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428264,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910800577
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,2,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428265,incoming,00 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910864526
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428266,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926910964412
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428267,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911196001
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,3,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428268,outgoing,00 fe 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911278231
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428269,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911336003
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428270,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911468625
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,,undefined,port7,31817,61430,206428271,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911531393
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428272,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911613412
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428273,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911811952
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3,Operational.Technology: DNP3,20000,app-ctrl,,undefined,port7,17189,61430,206428274,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911873506
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428275,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926911954365
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Class.Dump,Operational.Technology: DNP3_Class.Dump,20000,app-ctrl,others,undefined,port7,55662,61430,206428276,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912119735
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428277,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912158854
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,9,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,others,undefined,port7,17843,61430,206428278,outgoing,3c 02 06 3c 03 06 3c 04 06,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912213743
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Read,Operational.Technology: DNP3_Read,20000,app-ctrl,,undefined,port7,17843,61430,206428279,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912255246
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428280,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912318732
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,2,DNP3_Response,Operational.Technology: DNP3_Response,20000,app-ctrl,others,undefined,port7,31817,61430,206428281,incoming,00 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912363830
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428282,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926912440675
